ID,Votes
tt2262044,50
tt2268018,458
tt2278050,70
tt2281442,120
tt2296777,7531
tt2315596,6443
tt2316329,36
tt2316479,1190
tt2323912,21
tt2328772,19
tt2328900,18932
tt2355880,27
tt2368254,7603
tt2372251,7691
tt2377752,375
tt2386237,6838
tt2388771,42061
tt2392748,2305
tt2395271,18
tt2397617,41
tt2399430,7
tt2400305,19
tt2401211,6
tt2401825,655
tt2402114,52
tt2402578,46
tt2404639,2780
tt2418644,69
tt2431458,8
tt2433118,14
tt2445568,242
tt2448130,5
tt2458010,74
tt2459244,8
tt2463842,264
tt2470060,22
tt2482856,17
tt2486792,44
tt2490148,137
tt2530316,144
tt2531344,53851
tt2534642,82
tt2548396,80841
tt2556640,11
tt2557478,85604
tt2564088,6
tt2570500,242
tt2574538,9
tt2577636,15
tt2606314,87
tt2619512,1547
tt2639336,3012
tt2651724,134
tt2654536,15
tt2657538,6
tt2670882,562
tt2677064,1839
tt2677722,376
tt2690226,17
tt2690634,829
tt2700194,121
tt2703882,8
tt2704998,154729
tt2709692,26814
tt2713980,5
tt2728784,189
tt2737304,200401
tt2759338,211
tt2762662,384
tt2766104,380
tt2771252,8
tt2787302,975
tt2797930,13
tt2798920,218547
tt2802062,117
tt2825596,31
tt2828344,13
tt2837574,21943
tt2838568,284
tt2850272,50
tt2854926,76203
tt2873282,131431
tt2908486,16
tt2924392,2066
tt2924488,56
tt2936390,1851
tt2948160,4180
tt2949654,5
tt2966504,76
tt2967856,572
tt2977400,6
tt2981746,38
tt2984576,456
tt2987806,117
tt2990140,34569
tt2993848,383
tt3024324,521
tt3027994,78
tt3034316,6
tt3037588,26
tt3038808,80
tt3041550,961
tt3053228,6425
tt3060342,13
tt3063252,9
tt3064338,22
tt3068544,331
tt3072732,1027
tt3076510,223
tt3079568,157
tt3096782,291
tt3100938,10
tt3101140,8
tt3104988,84706
tt3107166,485
tt3111306,65
tt3111516,49
tt3113836,267
tt3114938,7
tt3118968,15
tt3120280,24425
tt3127016,247
tt3131050,627
tt3142428,93
tt3146022,47
tt3160336,14
tt3165632,1248
tt3177226,38
tt3177320,8
tt3180548,61
tt3183646,7
tt3196418,35
tt3200412,28
tt3201640,35844
tt3201736,454
tt3203528,12475
tt3208026,5914
tt3209242,6
tt3219686,8
tt3220900,11
tt3221910,32
tt3226786,1045
tt3240102,7
tt3244986,8
tt3258136,23
tt3260760,30
tt3261114,126
tt3263946,38
tt3274690,46
tt3279834,7
tt3289080,310
tt3289724,3665
tt3294746,223
tt3302344,8
tt3309874,16
tt3312180,454
tt3313182,431
tt3317234,20747
tt3319730,4986
tt3323800,10
tt3326106,14
tt3329456,144
tt3330948,368
tt3334418,1695
tt3339376,126
tt3339680,713
tt3343750,7
tt3344686,29
tt3350432,7
tt3353822,12
tt3355486,247
tt3362670,29
tt3370702,100
tt3373410,85
tt3385524,10146
tt3390260,6
tt3397096,71
tt3400616,16
tt3415354,20
tt3418064,175
tt3418260,14
tt3419036,5
tt3425408,40
tt3429968,9
tt3439694,11
tt3444206,229
tt3445702,1202
tt3446330,480
tt3451984,479
tt3452966,23
tt3458254,5377
tt3458510,4911
tt3458560,9
tt3458760,1677
tt3463230,10
tt3473874,8
tt3484312,17
tt3486210,257
tt3487610,1586
tt3496790,546
tt3503068,26
tt3503924,7
tt3512606,12
tt3512626,5
tt3514532,16
tt3517306,1112
tt3521254,19
tt3525168,2252
tt3526622,154
tt3533612,20
tt3543360,20
tt3543918,318
tt3552348,158
tt3554336,10
tt3555514,51
tt3562148,5
tt3563342,114
tt3565066,92
tt3580692,30
tt3588588,1447
tt3593946,6
tt3606756,188940
tt3608914,8
tt3615952,412
tt3619070,800
tt3625782,14
tt3628356,47
tt3628574,444
tt3638444,20
tt3641064,9
tt3643544,3472
tt3643612,17
tt3645988,318
tt3661570,514
tt3665498,2842
tt3674018,155
tt3680820,76
tt3685236,12123
tt3689528,21
tt3692634,17
tt3695346,308
tt3696764,24
tt3701610,35
tt3709552,1172
tt3710616,25
tt3711510,3272
tt3713222,52
tt3714492,102
tt3719228,5
tt3721964,20314
tt3722052,65
tt3722234,3087
tt3727750,5
tt3728130,26
tt3728852,11
tt3729034,62
tt3729980,15
tt3731778,7
tt3732280,1745
tt3737030,6
tt3739884,10
tt3745558,95
tt3746266,6
tt3749372,6
tt3750538,5
tt3754662,111
tt3756780,39
tt3756806,5
tt3759298,3452
tt3759912,37
tt3764198,325
tt3765310,35
tt3766354,88239
tt3766382,533
tt3767208,76
tt3767278,895
tt3769038,118
tt3778644,213072
tt3783510,32
tt3786198,31
tt3799232,40802
tt3801032,8
tt3801544,8
tt3806820,15
tt3807352,45
tt3809960,77
tt3811800,10
tt3813018,26
tt3823392,676
tt3824722,24
tt3829266,87255
tt3833682,415
tt3842562,6
tt3846674,57146
tt3848600,98
tt3855546,26
tt3859382,11
tt3867436,6
tt3875548,43
tt3889462,13
tt3891436,11
tt3892172,30403
tt3892962,13
tt3894958,99
tt3895908,33
tt3905764,3155
tt3907284,104
tt3908826,38
tt3914684,12
tt3920820,25
tt3921694,5
tt3951826,5
tt3953420,11
tt3954646,617
tt3956336,180
tt3957914,14
tt3960240,2938
tt3960820,62
tt3966706,25
tt3967878,2246
tt3968634,10
tt3973724,265
tt3978358,36
tt3983996,9
tt3989740,15
tt3991302,186
tt4003070,1413
tt4003440,30213
tt4006302,1024
tt4008864,69
tt4009728,209
tt4011544,7
tt4012916,20
tt4015500,9434
tt4019346,11
tt4023464,21
tt4026044,231
tt4035304,155
tt4037876,95
tt4039842,24
tt4042818,640
tt4052050,3817
tt4057146,616
tt4060006,540
tt4060498,19
tt4065382,14
tt4067106,152
tt4067358,7
tt4068576,335
tt4073790,19064
tt4076500,8
tt4080400,91
tt4084672,16
tt4085258,5
tt4086018,1285
tt4087816,76
tt4103470,826
tt4103724,9346
tt4110388,705
tt4113346,19
tt4113850,6
tt4114302,165
tt4121152,7
tt4123430,143547
tt4123650,1300
tt4126870,5
tt4130484,4735
tt4131496,5744
tt4136644,42
tt4136828,274
tt4138254,127
tt4150978,18
tt4151198,16
tt4151320,212
tt4154756,608509
tt4154916,11847
tt4156300,5
tt4157058,67
tt4161376,10
tt4168280,99
tt4168628,10
tt4168932,15
tt4172510,280
tt4177018,131
tt4177670,61
tt4177856,253
tt4180556,500
tt4183140,9
tt4183200,98
tt4187366,41
tt4189080,9
tt4192066,15
tt4192552,12
tt4194054,14
tt4194608,8
tt4202970,428
tt4203788,14
tt4205512,38
tt4209174,716
tt4211620,55
tt4218012,17
tt4218572,53247
tt4218998,241
tt4223310,42
tt4224754,293
tt4225092,121
tt4229864,179
tt4232066,438
tt4240848,10
tt4241778,29
tt4244998,37692
tt4263780,131
tt4264610,126
tt4265500,19
tt4266076,5409
tt4268054,57
tt4269118,1137
tt4269256,56
tt4270452,58
tt4272776,15
tt4278346,86
tt4287234,322
tt4287470,459
tt4301502,29
tt4306742,15
tt4312842,105
tt4317858,29
tt4318576,9
tt4318696,45
tt4320180,9
tt4323370,691
tt4325644,11
tt4327418,12
tt4329242,31
tt4329936,15
tt4335954,196
tt4344742,81
tt4346036,15
tt4347994,120
tt4357394,19260
tt4360924,191
tt4369136,196
tt4372572,10
tt4374286,527
tt4374864,342
tt4378628,444
tt4380142,8
tt4381382,5
tt4382792,9
tt4384500,11
tt4387314,49
tt4389006,34
tt4397342,188
tt4400784,27
tt4408104,19
tt4409276,30
tt4410000,1170
tt4411234,1894
tt4416800,13
tt4421800,71
tt4422886,21
tt4429814,15
tt4441348,19
tt4443974,186
tt4445490,309
tt4454078,552
tt4454834,155
tt4457008,33
tt4459806,36
tt4463816,13631
tt4465438,164
tt4465538,14
tt4465572,62
tt4469144,14
tt4469518,725
tt4470288,1510
tt4472096,50
tt4473488,37
tt4477536,41968
tt4478014,13
tt4481066,444
tt4484636,68
tt4487076,34
tt4488744,98
tt4489624,125
tt4491146,44
tt4494798,12
tt4500922,87452
tt4503112,6
tt4504144,9
tt4509494,16
tt4510218,56
tt4518962,588
tt4519488,1117
tt4520518,495
tt4523144,17
tt4524418,517
tt4530422,47178
tt4532826,34610
tt4537826,49
tt4537896,13366
tt4538294,212
tt4546326,8
tt4552546,274
tt4560436,43904
tt4560926,106
tt4564560,13
tt4565230,21
tt4566282,11
tt4566780,227
tt4568960,18
tt4571278,44
tt4572700,110
tt4575328,5747
tt4575576,46816
tt4578598,144
tt4580550,480
tt4581672,11
tt4586918,7
tt4590434,6
tt4594124,34
tt4594836,2751
tt4595882,23558
tt4600558,52
tt4602066,4000
tt4602554,446
tt4602920,27
tt4605028,58
tt4610378,4396
tt4614612,1346
tt4630466,32
tt4631048,502
tt4633694,158889
tt4637946,5
tt4638148,713
tt4642192,187
tt4643048,100
tt4643336,16
tt4645358,63
tt4650624,26
tt4667872,36
tt4668790,68
tt4669264,14220
tt4669296,3809
tt4669788,6363
tt4680368,162
tt4682128,17
tt4682136,1601
tt4682780,1953
tt4685806,5214
tt4685940,222
tt4691770,6
tt4694366,217
tt4694546,63
tt4695056,8
tt4700872,94
tt4701182,64425
tt4701724,15168
tt4702194,39
tt4702346,1491
tt4702826,2050
tt4712076,1197
tt4712618,11
tt4714710,69
tt4717422,795
tt4725842,59
tt4729642,120
tt4730224,2285
tt4733254,36
tt4733298,10
tt4733346,55
tt4734108,11
tt4737772,530
tt4738626,16
tt4738776,854
tt4738912,45
tt4743226,2251
tt4745692,5
tt4759366,8
tt4761916,11612
tt4762824,2777
tt4764490,148
tt4765240,2587
tt4766630,203
tt4767428,53
tt4768586,241
tt4773054,66
tt4776870,5
tt4777206,7
tt4778680,25
tt4779344,128
tt4779682,101977
tt4782322,138
tt4786132,1016
tt4788744,181
tt4789670,20
tt4789822,719
tt4791276,136
tt4792240,15
tt4794022,34
tt4795022,559
tt4795062,175
tt4795624,53
tt4799066,14917
tt4800378,44
tt4801080,6
tt4809590,5
tt4809964,16
tt4823494,5
tt4823538,504
tt4824316,330
tt4827420,15
tt4827558,1636
tt4832918,8
tt4834902,35
tt4836580,121
tt4837538,12
tt4839118,178
tt4840810,27
tt4841716,8
tt4843750,20
tt4844148,495
tt4844720,5
tt4847246,72
tt4851658,46
tt4856996,35
tt4857058,25
