ID,Votes,Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
tt7953814,888,The Foundation of Criminal Excellence,2018,02 Feb 2018,126 min,"Action, Comedy, Crime",Oskars Rupenheits,Oskars Rupenheits,"Lauris Klavins, Andris Daugavins, Maris Micerevskis, Armands Brakmanis","Imants Veide is writing a script about con artists and their schemes. Together with his friend Harijs Kuharjonoks he's trying them out for real for greater authenticity, but gets too entangled in real criminal schemes.",Latvia,N/A,,N/A,8.5,704,tt7953814,movie,N/A,N/A
tt7959026,31160,The Mule,2018,14 Dec 2018,116 min,"Crime, Drama, Thriller",Clint Eastwood,"Sam Dolnick (inspired by the New York Times Magazine Article ""The Sinaloa Cartel's 90-Year Old Drug Mule"" by), Nick Schenk","Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz",A 90-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,USA,N/A,70%,58,7.1,"30,434",tt7959026,movie,N/A,Warner Bros. Pictures
tt7959216,6562,Utøya: July 22,2018,09 Mar 2018,93 min,"Drama, Thriller",Erik Poppe,"Siv Rajendram Eliassen (screenplay), Anna Bache-Wiig (screenplay), Erik Poppe (story)","Andrea Berntzen, Aleksander Holmen, Solveig Koløen Birkeland, Brede Fristad",A teenage girl struggles to survive and to find her younger sister during the July 2011 terrorist mass murder at a political summer camp on the Norwegian island of Utøya.,Norway,1 nomination.,75/100,75,7.5,"6,281",tt7959216,movie,N/A,N/A
tt7959500,1007,The Farm,2018,19 Apr 2019,80 min,"Horror, Mystery, Thriller",Hans Stjernswärd,Hans Stjernswärd,"Nora Yessayan, Alec Gaylord, Ken Volok, Rob Tisdale",A young couple gets kidnapped and treated like farm animals after stopping at a roadside diner to eat meat.,USA,N/A,,N/A,3.9,"1,007",tt7959500,movie,N/A,Red Hound Films
tt7961060,14382,Dragon Ball Super: Broly,2018,16 Jan 2019,100 min,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Tatsuya Nagamine,"Akira Toriyama (character creator), Akira Toriyama (screenplay)","Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Toshio Furukawa","Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",Japan,N/A,59/100,59,8.1,"13,820",tt7961060,movie,N/A,N/A
tt7963218,573,Atlantic Rim: Resurrection,2018,15 Feb 2018,86 min,"Action, Adventure, Sci-Fi, Thriller",Jared Cohn,Geoff Meed,"Steve Richard Harris, Xavi Israel, Jenna Enns, Terry Woodberry","Los Angeles is under attack by monsters. The mechs attempting to fight them off are better armed than their precursors, but so are the creatures.",USA,N/A,,N/A,1.7,569,tt7963218,movie,N/A,Traplight Media
tt7973916,971,Enter The Wild,2018,01 Jan 2018,96 min,"Drama, Horror",Mark Forstmann,"Stephen Davis, Mark Forstmann","Ben Geurens, Ryan Johnson, Ella Scott Lynch, Socratis Otto","On a trek to find the world's rarest tree, Dylan and his friends descend into harsh ravines and canyons. As the wilderness closes in on them they come face to face with hard truths about friendship, unrequited love, and the consequences of letting go of the past.",USA,N/A,,N/A,4.5,969,tt7973916,movie,N/A,N/A
tt7974772,6817,A Sniper's War,2018,01 Feb 2018,83 min,Documentary,Olya Schechter,N/A,N/A,A story of a sniper fighting on the side of the pro-Russian rebels in Ukraine.,"USA, Russia, Ukraine",1 nomination.,,N/A,N/A,N/A,tt7974772,movie,N/A,N/A
tt7981260,773,Garbage,2018,20 May 2018,105 min,"Drama, Thriller",Qaushiq Mukherjee,Qaushiq Mukherjee (screenplay),"Tanmay Dhanania, Trimala Adhikari, Satarupa Das, Gitanjali Dang","A woman has been chained to the wall of an apartment. She is being kept as a slave. Taxi driver Phanishwar, her master, spreads his hatred on social networks. One day he meets a young woman...",India,N/A,60%,N/A,3.2,732,tt7981260,movie,N/A,N/A
tt7981492,874,Sabrina,2018,12 Jul 2018,113 min,"Horror, Thriller",Rocky Soraya,"Riheam Junianti (screenplay), Rocky Soraya (story), Fajar Umbara (screenplay)","Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas","Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya ...",Indonesia,N/A,,N/A,4.3,857,tt7981492,movie,N/A,N/A
