ID,Votes
tt0069578,5
tt0069579,5
tt0069580,74
tt0069581,10
tt0069582,267
tt0069583,677
tt0069584,56
tt0069585,110
tt0069587,26
tt0069588,8
tt0069589,89
tt0069590,16
tt0069592,19
tt0069594,70
tt0069595,177
tt0069596,86
tt0069597,57
tt0069598,134
tt0069599,5584
tt0069602,2264
tt0069603,103
tt0069604,29
tt0069605,18
tt0069606,345
tt0069607,939
tt0069608,1469
tt0069611,108
tt0069614,6
tt0069615,53
tt0069616,6
tt0069618,15
tt0069619,49
tt0069620,675
tt0069622,26
tt0069623,21
tt0069625,44
tt0069626,33
tt0069627,2696
tt0069629,179
tt0069630,197
tt0069632,616
tt0069633,222
tt0069634,2667
tt0069636,258
tt0069637,5099
tt0069638,396
tt0069640,20
tt0069641,1681
tt0069643,54
tt0069644,14
tt0069645,13
tt0069646,130
tt0069647,521
tt0069648,29
tt0069653,144
tt0069654,532
tt0069655,982
tt0069656,63
tt0069657,26
tt0069658,5159
tt0069862,7
tt0069875,104
tt0070965,35
tt0070966,30
tt0070967,139
tt0070968,3799
tt0070970,700
tt0070971,8
tt0070972,87
tt0070973,29
tt0070975,671
tt0070976,50
tt0070977,52
tt0070978,25
tt0070980,8
tt0070981,1250
tt0070982,142
tt0070983,68
tt0070984,47
tt0070985,50
tt0070986,59
tt0070987,8
tt0070988,25
tt0070990,196
tt0070991,5043
tt0070992,14065
tt0070993,470
tt0070994,10
tt0070995,24
tt0070996,2661
tt0070997,18
tt0070998,91
tt0071000,8
tt0071002,24
tt0071003,3578
tt0071004,53
tt0071005,2177
tt0071006,12
tt0071007,14353
tt0071008,73
tt0071009,34
tt0071010,41
tt0071012,304
tt0071013,13
tt0071014,9
tt0071016,116
tt0071017,42
tt0071018,16
tt0071019,17
tt0071022,96
tt0071023,19
tt0071025,52
tt0071028,1260
tt0071029,117
tt0071030,51
tt0071031,43
tt0071032,591
tt0071033,3563
tt0071034,1393
tt0071035,28
tt0071036,4682
tt0071038,153
tt0071040,1807
tt0071041,1904
tt0071042,5913
tt0071043,190
tt0071044,14
tt0071045,103
tt0071046,46
tt0071050,996
tt0071052,7
tt0071053,33
tt0071054,7660
tt0071055,8
tt0071056,36
tt0071057,34
tt0071059,1469
tt0071060,205
tt0071061,140
tt0071063,156
tt0071064,28
tt0071065,327
tt0071066,30
tt0071067,112
tt0071068,55
tt0071069,33
tt0071070,147
tt0071071,8
tt0071072,11
tt0071075,17858
tt0071105,32
tt0071325,16
tt0071506,6
tt0072163,7
tt0072464,27
tt0072466,21
tt0072468,21
tt0072470,101
tt0072471,1768
tt0072472,4131
tt0072474,35
tt0072475,11
tt0072477,12
tt0072478,141
tt0072479,38
tt0072480,20
tt0072481,74
tt0072483,28
tt0072485,162
tt0072486,38
tt0072488,7
tt0072489,51
tt0072490,155
tt0072491,38
tt0072492,55
tt0072493,17
tt0072494,11
tt0072495,9
tt0072496,1014
tt0072498,44
tt0072499,166
tt0072500,74940
tt0072501,15
tt0072504,144
tt0072505,299
tt0072506,1123
tt0072507,68
tt0072508,13
tt0072509,545
tt0072510,11
tt0072511,59
tt0072512,205
tt0072514,80
tt0072515,628
tt0072516,769
tt0072518,280
tt0072519,6471
tt0072521,12
tt0072522,48
tt0072523,16
tt0072524,7
tt0072525,30
tt0072526,18
tt0072527,10
tt0072528,10
tt0072529,237
tt0072535,92
tt0072536,133
tt0072538,11
tt0072540,10
tt0072541,327
tt0072542,75
tt0072543,42
tt0072544,32
tt0072545,19
tt0072546,9
tt0072550,6
tt0072551,95
tt0072552,69
tt0072553,56
tt0072554,3096
tt0072555,27
tt0072556,317
tt0072558,94
tt0072559,341
tt0072560,1326
tt0072561,15
tt0072562,38780
tt0072563,76
tt0072564,6125
tt0072567,6328
tt0072571,42
tt0072572,910
tt0072573,145
tt0072574,327
tt0072576,31
tt0072577,158
tt0072580,19
tt0072581,22
tt0072582,4656
tt0072583,12
tt0072584,2221
tt0072585,284
tt0072586,98
tt0072587,34
tt0072589,66
tt0072768,18
tt0073301,68
tt0073675,229
tt0073824,12
tt0073954,279
tt0073955,3259
tt0073956,35
tt0073958,70
tt0073961,1952
tt0073962,20
tt0073963,19
tt0073965,5047
tt0073966,37
tt0073967,119
tt0073968,14
tt0073969,210
tt0073970,128
tt0073972,8732
tt0073973,6
tt0073974,67
tt0073976,31
tt0073979,121
tt0073980,12
tt0073982,7
tt0073984,43
tt0073985,328
tt0073988,24
tt0073989,247
tt0073990,1422
tt0073991,1682
tt0073992,1026
tt0073993,23
tt0073995,1050
tt0073996,12
tt0073997,88
tt0073998,31
tt0074000,26
tt0074002,704
tt0074003,46
tt0074004,639
tt0074005,156
tt0074007,754
tt0074008,12
tt0074009,93
tt0074010,23
tt0074011,35
tt0074013,37
tt0074014,126
tt0074015,6
tt0074016,5398
tt0074017,28
tt0074018,29
tt0074019,69
tt0074020,6
tt0074021,939
tt0074022,25
tt0074025,22
tt0074026,45
tt0074027,26
tt0074028,20465
tt0074029,30
tt0074031,1706
tt0074033,17
tt0074035,733
tt0074036,4068
tt0074037,17
tt0074038,8
tt0074039,1002
tt0074040,21
tt0074041,144
tt0074042,4408
tt0074044,8
tt0074045,386
tt0074046,33
