Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
The Preppie Murder,1989,24 Sep 1989,100 min,"Crime, Drama",John Herzfeld,"Irv Roud (story), John Herzfeld (teleplay), Irv Roud (teleplay)","Danny Aiello, William Baldwin, Joanna Kerns, Lara Flynn Boyle","This is the story of a young woman who was found dead. Now the police investigate, and evidence points to a man she was seen leaving a party with. Now when questioned, he claims that her ...",USA,N/A,,N/A,5.6,352,tt0098119,movie,N/A,Jack Grossbart Productions
Starting from Scratch,1988–,01 Oct 1988,30 min,Comedy,N/A,Brian Cooke,"Bill Daily, Heidi Helmer, Jason Marin, Connie Stevens","A veterinarian (Daily) with two teenagers faces the return of his ex-wife (Stevens), who has left her new husband, in this syndicated series.",USA,N/A,,N/A,7.8,25,tt0094555,series,,
Hangmen,1987,27 Feb 1988,90 min,"Action, Thriller, Adventure",J. Christian Ingvordsen,"J. Christian Ingvordsen, Steven Kaman, Rick Washburn (additional dialogue)","Rick Washburn, Dog Thomas, Keith Bogart, J. Christian Ingvordsen","Rob Greene has information about an undercover terror team inside the CIA led by Joe Connelly. To stay alive with the knowledge, he is advised to stay undercover by his supervisor Andrews. ...",USA,N/A,,N/A,3.0,867,tt0093142,movie,N/A,Simitar
Forces of Nature,1999,19 Mar 1999,105 min,"Comedy, Romance",Bronwen Hughes,Marc Lawrence,"Ben Affleck, Sandra Bullock, Maura Tierney, Steve Zahn",A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,USA,2 wins & 5 nominations.,45%,46,5.4,"30,160",tt0141098,movie,N/A,Dreamworks Distribution
George Lopez: America's Mexican,2007,24 Feb 2007,65 min,"Documentary, Comedy",Marty Callner,George Lopez,George Lopez,"Expect the unexpected when George Lopez hits the stage in his first HBO solo stand-up special. Performed in front of a packed house at the Dodge Theater in Phoenix, Arizona, the show will be a no-holds-barred affair from the comedy star.",USA,1 nomination.,,N/A,6.4,353,tt0975673,movie,N/A,N/A
"Red! - Stars, Lifestyle & More",2008–,13 Nov 2008,60 min,News,N/A,N/A,Annemarie Warnkross,N/A,Germany,N/A,,N/A,3.9,8,tt1322807,series,,
The Oscars Opening Ceremony: Live from the Red Carpet,2018,04 Mar 2018,90 min,News,Jeff Winn,N/A,"Margot Robbie, Timothée Chalamet, Chadwick Boseman, Saoirse Ronan",N/A,N/A,N/A,,N/A,7.0,7,tt8027544,movie,N/A,N/A
The 24th Annual Movieguide Awards,2016,22 Feb 2016,N/A,Reality-TV,Michael Trent,N/A,"Joe Mantegna, Sadie Robertson, Karen Abercrombie, Trace Adkins",N/A,USA,N/A,,N/A,N/A,N/A,tt5440526,movie,N/A,N/A
BNow!,2015–,16 Nov 2015,N/A,News,N/A,N/A,Prince Mario-Max Schaumburg-Lippe,"Germany's biggest Burda Publishing new Livestream of Stars, Bloggers and Journalists with the best videos - BNow. broadcasts entertainment nonstop to smart-phones and websites like the own broadcast platform or face book.",Germany,N/A,,N/A,4.6,5,tt5323226,series,,
Teen Choice Awards 2013,2013,11 Aug 2013,120 min,N/A,"Morris Abraham, Michael Dempsey",N/A,"Alexandra Daddario, Melissa Benoist, Nina Dobrev, Bella Thorne","TV awards for best movies, TV shows, comedic actors and actresses.",USA,N/A,,N/A,6.5,115,tt3063380,movie,N/A,N/A
Nickelodeon Kids' Choice Awards 2013,2013,23 Mar 2013,90 min,"Music, Reality-TV",Joe DeMaio,N/A,"Neil Patrick Harris, Alexander Ludwig, Melissa Benoist, Megan Fox","Josh Duhamel hosts this kid orientated award show for Nickelodeon. Movies like The Avengers and Madagascar 3 are nominated, while celebrities include Neil Patrick Harris and Logan Lerman. ...",USA,N/A,,N/A,8.3,71,tt2654656,movie,N/A,N/A
La noche de los Oscar,2010,07 Mar 2010,N/A,N/A,N/A,N/A,"Manuela Velasco, Pedro Almodóvar, Ernesto Alterio, Antonio Banderas",N/A,Spain,N/A,,N/A,N/A,N/A,tt1615020,movie,N/A,N/A
41st NAACP Image Awards,2010,26 Feb 2010,120 min,Family,"Rickey Minor, Jonathan X","Vicangelo Bulluck, Stacey Lyn Evans, Royce Osborn","Tatyana Ali, Anthony Anderson, Tichina Arnold, Clarence Avant",N/A,USA,N/A,,N/A,2.6,12,tt1616502,movie,N/A,N/A
The 36th Annual People's Choice Awards,2010,06 Jan 2010,N/A,N/A,Alan Carter,"Brent Bradshaw, Jim Earl, David Feldman, Mason Steinberg (consultant writer), Melissa A. Wong, Nicolle Yaron (consultant writer)","Queen Latifah, Mary J. Blige, Jessica Alba, Kris Allen","""People' s Choice Awards"" - American award, that is awarded to the figures of pop culture on results the spectator voting. Handed annually, since 1975. 2005 to of winner in each of ...",USA,N/A,,N/A,6.8,57,tt1572505,movie,N/A,N/A
Hollywood Dish with Mena Micheletti,2009,22 Dec 2009,18 min,Short,Mike George,N/A,"Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong",N/A,USA,N/A,,N/A,N/A,N/A,tt1555820,movie,N/A,N/A
No Subtitles Necessary: Laszlo & Vilmos,2008,11 Jan 2009,86 min,Documentary,James Chressanthis,James Chressanthis,"Karen Black, Peter Bogdanovich, Sandra Bullock, James L. Carter",The lifelong friendship of the great cinematographers Laszlo Kovacs and Vilmos Zsigmond and their impact on American cinema.,USA,1 win & 1 nomination.,,N/A,7.8,318,tt1054118,movie,N/A,Cinema Libre Studio
CMT: The Greatest - Sexiest Southern Women,2006,26 May 2006,60 min,N/A,Thom Oliphant,N/A,"Joey Bartolomeo, Matt Battaglia, Buddy Bolton, Sandra Bullock",N/A,USA,N/A,,N/A,7.6,12,tt0818479,movie,N/A,N/A
Crash: L.A. - The Other Main Character,2006,04 Apr 2006,14 min,Short,N/A,N/A,"Karen Bass, Sandra Bullock, Mark R. Harris, Marqueece Harris-Dawson","Newton, Thandie narrates an exposé of L.A. as a central character in the film Crash.",USA,N/A,,N/A,N/A,N/A,tt5232030,movie,N/A,N/A
Mornings with Kerri-Anne,2002–,09 Feb 2002,120 min,"Family, Talk-Show",N/A,N/A,"Kerri-Anne Kennerley, Jamie Malcolm",N/A,Australia,N/A,,N/A,6.0,37,tt0434707,series,,
Crash: Behind the Scenes,2005,06 Sep 2005,10 min,Short,N/A,N/A,"Sandra Bullock, Brendan Fraser, Robert Moresco, Thandie Newton",A behind the scene look at the filming of the movie Crash.,USA,N/A,,N/A,N/A,N/A,tt5232096,movie,N/A,N/A
Women on Top: Hollywood and Power,2003,12 May 2003,60 min,Documentary,Blake West,Roberta Grossman,"Halle Berry, Sandra Bullock, Penélope Cruz, Andrea Fellers",N/A,USA,N/A,,N/A,6.4,40,tt0367240,movie,N/A,N/A
Inside 'Speed',2002,20 Jun 2002,45 min,Documentary,Charles de Lauzirika,Charles de Lauzirika,"Jan de Bont, Ian Bryce, Sandra Bullock, Mark Gordon","An informative behind-the-scenes look at the film ""Speed,"" exploring shooting on-location, visual effects, stunts and various action sequences.",USA,N/A,,N/A,6.2,10,tt1198067,movie,N/A,N/A
Inside 'The Net',2002,02 Apr 2002,N/A,"Documentary, Short",Michael Gillis,N/A,"John D. Brancato, Sandra Bullock, Rob Cowan, Michael Ferris",N/A,USA,N/A,,N/A,6.2,13,tt0383408,movie,N/A,N/A
Miss Congeniality: Behind the Beauty,2001,N/A,10 min,"Documentary, Short, Comedy",N/A,N/A,"Benjamin Bratt, Sandra Bullock, Michael Caine, Donald Petrie",N/A,USA,N/A,,N/A,6.7,12,tt6112088,movie,N/A,N/A
2001 ABC World Stunt Awards,2001,16 Jun 2001,N/A,Family,"Lawrence Jordan, Jay Karas",N/A,"Alec Baldwin, Greg Behrendt, Jason Biggs, Sandra Bullock",N/A,USA,N/A,,N/A,6.1,20,tt0291699,movie,N/A,N/A
The 15th Annual American Comedy Awards,2001,24 Apr 2001,N/A,N/A,Bruce Gowers,"Dave Boone, Jon Macks, Bruce Vilanch","Buzz Aldrin, Ed Begley Jr., Richard Belzer, Lewis Black",N/A,USA,N/A,,N/A,6.6,7,tt0390802,movie,N/A,N/A
2001 Blockbuster Entertainment Awards,2001,11 Apr 2001,N/A,N/A,Bruce Gowers,"Ken Ehrlich, David Wild, Brian Woods (creator)","Christina Aguilera, Tyra Banks, Drew Barrymore, Lance Bass",N/A,USA,1 nomination.,,N/A,6.2,22,tt0290120,movie,N/A,N/A
Live Lunch,2001–2002,09 Mar 2001,25 min,Family,N/A,N/A,"Gaynor Barnes, Tony Earnshaw, Susan Brookes","A lunchtime magazine show combining live guests, filmed inserts, movie reviews and news bulletins. Film-related guests included Edward Burns, Bill Nighy, Paddy Breathnach, Sharon Maguire, ...",UK,N/A,,N/A,N/A,N/A,tt1148753,series,,
Lux,2000–2004,N/A,30 min,News,N/A,N/A,"Rita Seguro, Diogo Morgado, Christina Möhler, Maria João Abreu",N/A,Portugal,N/A,,N/A,N/A,N/A,tt1521185,series,,
My VH1 Music Awards,2000,30 Nov 2000,120 min,"Documentary, Music","Bruce Gowers, Andee Kuroda, Jay Karas","Eugene Pack, Rob Tannenbaum","Christina Aguilera, Patricia Arquette, John M.P. Athayde, Antonio Banderas",N/A,USA,1 win & 1 nomination.,,N/A,5.0,70,tt0290782,movie,N/A,N/A
VH1/Vogue Fashion Awards,1999,05 Dec 1999,N/A,N/A,Glenn Weiss,Greg Grabianski,"Beck, Foxy Brown, Sandra Bullock, Ed Burns",N/A,USA,N/A,,N/A,3.8,37,tt0482632,movie,N/A,N/A
The 25th Annual People's Choice Awards,1999,13 Jan 1999,120 min,Family,Louis J. Horvitz,Buz Kohan,"Tim Allen, Christina Applegate, Army Archerd, Joseph Ashton",N/A,USA,N/A,,N/A,4.4,7,tt1214944,movie,N/A,N/A
Women of the Net,1998,21 Jun 1998,N/A,Documentary,N/A,N/A,"Danni Ashe, Halle Berry, Sandra Bullock, Asia Carrera",N/A,USA,N/A,,N/A,N/A,N/A,tt0882823,movie,N/A,N/A
Ruby Wax Meets...,1996–,28 Jan 1996,N/A,"Documentary, Comedy",N/A,N/A,Ruby Wax,"7 BBC television celebrity profiles/portraits featuring Ruby with Imelda Marcos (50 minutes), Goldie Hawn (30'), Burt Reynolds (30'), Heidi Fleiss (30'), Roseanne Barr (30'), Pamela ...",UK,1 nomination.,,N/A,8.3,42,tt0115340,series,,
The Making of 'Speed 2: Cruise Control',1997,N/A,23 min,"Comedy, Documentary, Action",Thomas C. Grane,Christopher Iacono,"Tim Conway, Hawthorne James, Carlos Carrasco, Edie McClurg","A behind-the-scenes look at ""Speed 2"" with cast and crew interviews and a look at music, stunts, and special effects from the film. Also features a subplot with DMV instructor Bob Kenter trying to make his way to his cruise to paradise.",USA,N/A,,N/A,5.2,37,tt0361873,movie,N/A,N/A
Smash Hits Poll Winners Party 1996,1996,01 Dec 1996,94 min,Music,Julia Knowles,N/A,"3T, Peter Andre, Paul Arthurs, Backstreet Boys",N/A,UK,N/A,,N/A,N/A,N/A,tt4540226,movie,N/A,N/A
1996 Blockbuster Entertainment Awards,1996,06 Mar 1996,N/A,"Documentary, News, Reality-TV",Bruce Gowers,"Cort Casady, Ken Ehrlich","Dan Aykroyd, Jim Belushi, Halle Berry, Tony Borowiak",The 2nd Blockbuster Entertainment Awards ceremony presented live.,USA,N/A,,N/A,N/A,N/A,tt3279036,movie,N/A,N/A
Nickelodeon Kids' Choice Awards '95,1995,01 May 1995,N/A,N/A,N/A,N/A,"Tatyana Ali, Roseanne Barr, Jonathan Brandis, Sandra Bullock",N/A,USA,N/A,,N/A,6.1,8,tt1677635,movie,N/A,N/A
The Making of 'Speed',1994,N/A,24 min,"Documentary, Short",Thomas C. Grane,N/A,"Ron Brinkmann, Jophery C. Brown, Ian Bryce, Sandra Bullock","TV-special from HBO with an inside look at the making of the ""Speed"" film, hosted by Dennis Hopper. Features interviews and out-takes from the set.",USA,N/A,,N/A,7.2,72,tt0338225,movie,N/A,N/A
Programa Livre,1991–2001,19 Aug 1991,N/A,"Game-Show, Talk-Show",N/A,N/A,"Mamonas Assassinas, Lu Barsotti, Jorge Ben, Jon Bon Jovi",N/A,Brazil,N/A,,N/A,N/A,N/A,tt3014824,series,,
The Nineties,2017,N/A,60 min,Documentary,N/A,N/A,"Dan Rather, Gil Troy, Nelson George, Renee Graham","A TV documentary miniseries chronicling the trends, pop culture, and important events that took place from 1990 to 1999.",USA,2 nominations.,,N/A,8.2,687,tt5737432,series,,
Crash: On Paul Haggis,2006,04 Apr 2006,5 min,Short,N/A,N/A,Sandra Bullock,N/A,USA,N/A,,N/A,N/A,N/A,tt5231960,movie,N/A,N/A
Two Weeks Notice,2002,20 Dec 2002,101 min,"Comedy, Romance",Marc Lawrence,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey","A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him.","USA, Australia",2 wins & 3 nominations.,42%,42,6.1,"98,015",tt0313737,movie,"$93,300,000",Warner Bros.
Trespasses,1999,N/A,N/A,Short,Michael Petroni,N/A,"Brady Coleman, Tisha Frazier, Laura Poe",N/A,USA,N/A,,N/A,6.4,17,tt0240995,movie,N/A,N/A
Our Father,1996,N/A,N/A,N/A,N/A,Cheryl McKay,N/A,N/A,USA,N/A,,N/A,7.0,23,tt0124040,movie,N/A,N/A
Minions,2015,10 Jul 2015,91 min,"Animation, Adventure, Comedy, Family","Kyle Balda, Pierre Coffin",Brian Lynch,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",USA,Nominated for 1 BAFTA Film Award. Another 4 wins & 24 nominations.,56%,56,6.4,"193,180",tt2293640,movie,"$277,969,969",Universal Pictures
Gravity,2013,04 Oct 2013,91 min,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Two astronauts work together to survive after an accident leaves them stranded in space.,"UK, USA",Won 7 Oscars. Another 232 wins & 175 nominations.,96%,96,7.7,"709,895",tt1454468,movie,"$274,084,951",Warner Bros. Pictures
Extremely Loud & Incredibly Close,2011,20 Jan 2012,129 min,"Adventure, Drama, Mystery",Stephen Daldry,"Eric Roth (screenplay), Jonathan Safran Foer (novel)","Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",USA,Nominated for 2 Oscars. Another 8 wins & 23 nominations.,46%,46,6.9,"92,895",tt0477302,movie,"$31,836,745",Warner Bros. Pictures
Premonition,2007,16 Mar 2007,96 min,"Drama, Fantasy, Mystery, Thriller",Mennan Yapo,Bill Kelly,"Sandra Bullock, Julian McMahon, Shyann McClure, Courtney Taylor Burness","A depressed homemaker learns that her husband was killed in a car accident the previous day, then awakens the next morning to find him alive and well at home; then awakens the day after that to find that he's dead.",USA,2 nominations.,8%,29,5.9,"69,224",tt0477071,movie,"$47,852,604",Sony
The Lake House,2006,16 Jun 2006,99 min,"Drama, Fantasy, Romance",Alejandro Agresti,"David Auburn (screenplay), Eun-Jeong Kim (motion picture ""Siworae""), Ji-na Yeo (motion picture ""Siworae"")","Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach","A lonely doctor, who once occupied an unusual lakeside house, begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.",USA,2 wins & 2 nominations.,36%,52,6.8,"129,150",tt0410297,movie,"$52,300,000",Warner Bros. Pictures
Loverboy,2005,28 Apr 2005,84 min,"Drama, Romance",Kevin Bacon,"Hannah Shakespeare (screenplay), Victoria Redel (novel)","Kyra Sedgwick, Dominic Scott Kay, Kevin Bacon, Blair Brown",A neglected daughter becomes a possessive mother in an emotional journey into the heart and mind of a woman who loved too much.,USA,1 win.,18%,45,5.5,"2,922",tt0388213,movie,N/A,ThinkFilm
Stevie Nicks & Sheryl Crow: If You Ever Did Believe,1998,16 Oct 1998,N/A,"Short, Music",Rocky Schenck,Rocky Schenck (scenario),"Sandra Bullock, Sheryl Crow, Nicole Kidman, Stevie Nicks",N/A,USA,N/A,,N/A,N/A,N/A,tt4970688,movie,N/A,N/A
In Love and War,1996,24 Jan 1997,113 min,"Biography, Drama, Romance, War",Richard Attenborough,"Henry S. Villard (book), James Nagel (book), Allan Scott (screen story), Dimitri Villard (screen story), Allan Scott (screenplay), Clancy Sigal (screenplay), Anna Hamilton Phelan (screenplay)","Mackenzie Astin, Chris O'Donnell, Margot Steinberg, Sandra Bullock",A bitter love story between a talented writer and a gentle nurse.,USA,1 nomination.,11%,N/A,6.0,"7,696",tt0116621,movie,N/A,New Line Home Entertainment
Two If by Sea,1996,12 Jan 1996,96 min,"Comedy, Crime, Romance",Bill Bennett,"Denis Leary (story), Mike Armstrong (story), Ann Lembeck (story), Denis Leary (screenplay), Mike Armstrong (screenplay)","Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank...",USA,N/A,11%,N/A,5.2,"5,029",tt0118002,movie,N/A,Warner Home Video
While You Were Sleeping,1995,21 Apr 1995,103 min,"Comedy, Drama, Romance",Jon Turteltaub,"Daniel G. Sullivan, Fredric Lebow","Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle",A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,USA,Nominated for 1 Golden Globe. Another 4 wins & 4 nominations.,80%,67,6.7,"84,247",tt0114924,movie,N/A,Buena Vista Pictures
Speed,1994,10 Jun 1994,116 min,"Action, Adventure, Crime, Thriller",Jan de Bont,Graham Yost,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,USA,Won 2 Oscars. Another 16 wins & 19 nominations.,93%,78,7.2,"301,141",tt0111257,movie,N/A,20th Century Fox
Fire on the Amazon,1993,N/A,87 min,"Action, Adventure, Drama",Luis Llosa,"Luana Anders, Catherine Cyran, Beverly Gray (screenplay)","Craig Sheffer, Sandra Bullock, Juan Fernández, Judith Chapman","In Bolivia's Amazon basin, corporate cattle ranches are replacing the rain forest. When Santos, charismatic leader of the union of rubber tappers, forges an alliance with Indians to protest...","USA, Peru",N/A,,N/A,3.5,"2,304",tt0106913,movie,N/A,Concorde/New Horizons Home Video
The Thing Called Love,1993,27 Aug 1993,116 min,"Comedy, Drama, Music, Romance",Peter Bogdanovich,Carol Heikkinen,"River Phoenix, Samantha Mathis, Dermot Mulroney, Sandra Bullock",A group of newcomers to the country music business seek love and stardom.,USA,N/A,57%,N/A,6.3,"6,599",tt0108327,movie,N/A,Paramount Pictures
The Vanishing,1993,05 Feb 1993,109 min,"Drama, Horror, Mystery, Thriller",George Sluizer,"Tim Krabbé (novel), Todd Graff (screenplay)","Jeff Bridges, Kiefer Sutherland, Nancy Travis, Sandra Bullock",The boyfriend of an abducted woman never gives up the search as the abductor looks on.,USA,2 nominations.,47%,49,6.3,"21,389",tt0108473,movie,N/A,Twentieth Century Fox Home Entertainment
Working Girl,1990–,16 Apr 1990,30 min,Comedy,N/A,"Kimberly Hill, Tom Patchett","Sandra Bullock, George Newbern, Anthony Tyler Quinn, Judy Prescott",This situation comedy based on the popular film featured more of the adventures of secretary Tess McGill in the office setting.,USA,N/A,,N/A,6.9,95,tt0098951,series,,
A Fool and His Money,1989,01 Sep 1989,84 min,"Comedy, Drama",Daniel Adams,"Daniel Adams (story), Daniel Adams (screenplay), Michael Mailer (screenplay), Daniel Adams, Michael Mailer (head writer)","Jonathan Penner, Gerald Orange, Sandra Bullock, George Plimpton","While watching TV, ex-adman Morris Codman receives a message from God. Advised by the Almighty to go into business for himself, Codman inaugurates his own religion, founded on a philosophy of selfishness.","USA, Canada",N/A,,N/A,3.8,438,tt0098185,movie,N/A,Chronicle Films
Who Shot Patakango?,1989,01 Aug 1989,102 min,Comedy,Robert Brooks,"Halle Brooks, Robert Brooks","David Edwin Knight, Sandra Bullock, Kevin Otto, Aaron Ingram",A coming-of-age tale set in Brooklyn during the late '50s which centers around the high school life of a group of teens that have to deal with racial tensions at their interracial vocational high school.,USA,N/A,,N/A,4.6,288,tt0100930,movie,N/A,Parade Video
Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,1989,30 Apr 1989,96 min,"Action, Sci-Fi",Alan J. Levi,"Michael Sloan (teleplay), Brock Choy (teleplay), Michael Sloan (story), Robert De Laurentiis (story)","Lindsay Wagner, Lee Majors, Richard Anderson, Sandra Bullock","The Bionic Woman and the Six Million Dollar Man reunite, with a few younger bionic assistants, and try to catch a bionic spy.",USA,N/A,,N/A,6.5,795,tt0096931,movie,N/A,Universal TV
Muppets Tonight,1996–1998,08 Mar 1996,30 min,"Comedy, Family, Music",N/A,N/A,"Dave Goelz, Kevin Clash, Jerry Nelson, Bill Barretta","Kermit the Frog, Clifford and friends struggle to put on a weekly TV variety show.","France, USA",Won 2 Primetime Emmys. Another 1 win & 6 nominations.,,N/A,7.8,"1,600",tt0115279,series,,
The 42nd Annual People's Choice Awards,2016,06 Jan 2016,120 min,Reality-TV,Alan Carter,"Paul Greenberg, Steven Murphy, Ann Slichter (host writer), Grant Taylor (host writer), Gabe Uhr, Erik Weiner","F. Murray Abraham, Judd Apatow, Troian Bellisario, Melissa Benoist",N/A,USA,N/A,,N/A,7.6,24,tt5344290,movie,N/A,N/A
Guys Choice Awards 2014,2014,11 Jun 2014,N/A,N/A,Ryan Polito,"Josh Comers, Tom Johnson (head writer), Tom Johnson, Dan Masciarelli, Mason Steinberg, Andres du Bouchet","Nina Agdal, Jessica Alba, Lily Aldridge, Chuy Bravo",N/A,USA,N/A,,N/A,4.9,8,tt3858872,movie,N/A,N/A
The Oscars Red Carpet Live 2014,2014,02 Mar 2014,N/A,News,Joe DeMaio,David Wild,N/A,N/A,USA,N/A,,N/A,N/A,N/A,tt3697216,movie,N/A,N/A
12th Annual Visual Effects Society Awards,2014,12 Feb 2014,200 min,Reality-TV,Victoria Botka-Williams,N/A,"Bruce Boxleitner, Sandra Bullock, Alfonso Cuarón, Michael Ealy",N/A,USA,N/A,,N/A,N/A,N/A,tt4212620,movie,N/A,N/A
The 40th Annual People's Choice Awards,2014,08 Jan 2014,N/A,N/A,"Alan Carter, Jeff Roe","Paul Greenberg, Peter Karinen","Kat Dennings, Beth Behrs, Malin Akerman, Jessica Alba",N/A,USA,N/A,,N/A,6.9,48,tt3480862,movie,N/A,N/A
The Prime Ministers: The Pioneers,2013,18 Oct 2013,115 min,Documentary,Richard Trank,"Marvin Hier, Richard Trank (screenplay), Avner Yehudai (book)","Sandra Bullock, Robert Cait, Michael Douglas, Leonard Nimoy","Based on the best- selling book by Ambassador Yehuda Avner, The Prime Ministers: The Pioneers takes the audience inside the offices of Israel's Prime Ministers through the eyes of an ...",USA,N/A,38%,43,6.1,28,tt3228928,movie,N/A,Moriah Films
Filmselskabet,2012–,12 Jan 2012,28 min,N/A,N/A,N/A,"Maria Månson, Per Juul Carlsen",N/A,Denmark,N/A,,N/A,7.4,14,tt2286393,series,,
CQC - Custe o Que Custar,2008–,17 Mar 2008,120 min,"Comedy, News",N/A,N/A,"Marcelo Tas, Marco Luque, Oscar Filho, Felipe Andreoli","The show is a Brazilian version of the ""Caiga quien Caiga"" of Argentina. A resume of the news of the week with comedy.","Brazil, Argentina",13 wins & 7 nominations.,,N/A,7.2,204,tt1518344,series,,
Teen Choice Awards 2010,2010,09 Aug 2010,120 min,Family,Michael Dempsey,Rob LeDonne (contributing),"Katy Perry, Chris Colfer, Cory Monteith, Kevin McHale",Awards for famous teenagers in acting and singing.,USA,N/A,,N/A,6.1,129,tt1704620,movie,N/A,N/A
MTV Movie Awards 2010 Pre-Show,2010,06 Jun 2010,N/A,N/A,Steve Paley,Ryan J. Downey,"Quinton Aaron, Christina Aguilera, Jessica Alba, Aziz Ansari",N/A,USA,N/A,,N/A,N/A,N/A,tt1997438,movie,N/A,N/A
All About 'All About Steve',2009,22 Dec 2009,11 min,Short,N/A,N/A,"Kim Barker, Sandra Bullock, Thomas Haden Church, Bradley Cooper",N/A,USA,N/A,,N/A,7.4,13,tt1555801,movie,N/A,N/A
2009 MTV Movie Awards,2009,31 May 2009,N/A,N/A,"Joe DeMaio, Troy Miller","Jordan Allen-Dutton, Scott Aukerman (head writer), Derek Barbosa (own segment), Aaron Blitzstein, Neil Campbell, Tim Kalpakis, Al Kaplan, Jon Kaplan, Peter Karinen, Ryan Perez (segment), John Ritchie, Jordan Rubin (head writer), Brian Sacca, Akiva Schaffer, Laura Valdivia, Erik Weiner, Melissa A. Wong","Andy Samberg, Aziz Ansari, Fred Armisen, Brandon Bailey",N/A,USA,N/A,,N/A,5.9,442,tt1401689,movie,N/A,N/A
Glimpses of the Future: Making 'Premonition',2007,17 Jul 2007,15 min,"Documentary, Short",N/A,N/A,"Ashok Amritraj, Sandra Bullock, Bill Kelly, Nia Long",N/A,USA,N/A,,N/A,N/A,N/A,tt1587677,movie,N/A,N/A
Forbes 20 Richest Women in Entertainment,2007,20 Jan 2007,N/A,N/A,N/A,N/A,"Christina Aguilera, Jennifer Aniston, Sandra Bullock, Gisele Bündchen",N/A,USA,N/A,,N/A,6.9,29,tt0958074,movie,N/A,N/A
The Teen Choice Awards 2006,2006,20 Aug 2006,120 min,Family,Bruce Gowers,J. Holland Moore,"Jessica Simpson, Dane Cook, Nick Lachey, Britney Spears",A televised award show that featured celebrities presenting awards to movies stars and musicians.,USA,N/A,,N/A,2.8,137,tt0850343,movie,N/A,N/A
2006 MTV Movie Awards,2006,08 Jun 2006,N/A,N/A,Joel Gallen,"Tommy Cody, Paul Greenberg, Mathew Harawitz, Joe Kelly (consulting writer), Jason Kessler, Aaron Lee, Erica Rivinoja, Jordan Rubin, Caleb Scott","Jessica Alba, Sandra Bullock, Keanu Reeves, Colin Farrell",The fifteenth annual MTV Movie Awards show. Hosted by Jessica Alba.,USA,N/A,,N/A,4.7,286,tt0790596,movie,N/A,N/A
Behind the Metal & Glass: The Making of 'Crash',2006,04 Apr 2006,28 min,"Documentary, Short",N/A,N/A,"Sandra Bullock, Brendan Fraser, Mark R. Harris, Robert Moresco",N/A,USA,N/A,,N/A,N/A,N/A,tt5231948,movie,N/A,N/A
Crash: Unspoken,2006,04 Apr 2006,12 min,Short,N/A,N/A,"Sandra Bullock, Mark R. Harris, Marqueece Harris-Dawson, Robert Moresco","Newton, Thandie narrates this piece exploring racism in L.A. depicted in the film Crash.",USA,N/A,,N/A,N/A,N/A,tt5232058,movie,N/A,N/A
Celebrity Weddings: In Style,2006,30 Jan 2006,N/A,Documentary,N/A,N/A,"Sandra Bullock, Melissa Etheridge, Bobby Flay, Jesse James",N/A,USA,N/A,,N/A,6.1,20,tt0251628,movie,N/A,N/A
The 32nd Annual People's Choice Awards,2006,10 Jan 2006,120 min,"Documentary, Family",Bruce Gowers,"Jonathan Morano, Ned Rice, Joe Strazzullo, David Wild","Anthony Azizi, Tyra Banks, Sandra Bullock, Ever Carradine",N/A,USA,N/A,,N/A,3.7,121,tt0770705,movie,N/A,N/A
'Crash' Featurette,2005,06 Sep 2005,10 min,"Documentary, Short",N/A,N/A,"Sandra Bullock, Don Cheadle, Brendan Fraser, Paul Haggis",Cast and crew members reflect on Crash (2004).,USA,N/A,,N/A,6.2,15,tt0497872,movie,N/A,N/A
