Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
Everyone Says I Love You,1996,17 Jan 1997,101 min,"Comedy, Musical, Romance",Woody Allen,Woody Allen,"Edward Norton, Drew Barrymore, Diva Gray, Ami Almendral",A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,USA,Nominated for 1 Golden Globe. Another 11 wins & 11 nominations.,79%,N/A,6.8,"33,502",tt0116242,movie,N/A,Sweetland Films
Heat,1995,15 Dec 1995,170 min,"Crime, Drama, Thriller",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,USA,12 nominations.,86%,76,8.2,"522,492",tt0113277,movie,N/A,Warner Bros.
Léon: The Professional,1994,18 Nov 1994,110 min,"Action, Crime, Drama, Thriller",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",France,5 wins & 11 nominations.,72%,64,8.6,"926,372",tt0110413,movie,N/A,Columbia Pictures
Eating Animals,2017,15 Jun 2018,94 min,Documentary,Christopher Dillon Quinn,"Christopher Dillon Quinn, Jonathan Safran Foer (book)",Natalie Portman,An examination of our dietary choices and the food we put in our bodies. Based on Jonathan Safran Foer's memoir.,"UK, India, Germany, China, USA",N/A,69/100,69,7.2,603,tt2180351,movie,N/A,N/A
Jane Got a Gun,2015,29 Jan 2016,98 min,"Action, Drama, Western",Gavin O'Connor,"Brian Duffield (screenplay), Anthony Tambakis (screenplay), Joel Edgerton (screenplay), Brian Duffield (story)","Natalie Portman, Joel Edgerton, Ewan McGregor, Noah Emmerich",A woman asks her ex-lover for help in order to save her outlaw husband from a gang out to kill him.,USA,N/A,42%,49,5.9,"18,950",tt2140037,movie,"$976,847",Relativity Media
Scruples,2012,N/A,N/A,Drama,Michael Sucsy,"Bob Brush (creator), Mel Harris (creator), Mel Harris, Judith Krantz (book)","Claire Forlani, Chad Michael Murray, Jessica McNamee, Gary Cole","A rich and powerful clothing designer is living in a world of sex, revenge and scandal.",USA,N/A,,N/A,7.8,28,tt2282957,movie,N/A,N/A
Hesher,2010,25 Jun 2011,106 min,"Comedy, Drama",Spencer Susser,"Spencer Susser, David Michôd, Brian Charles Frank (story)","Joseph Gordon-Levitt, Devin Brochu, Rainn Wilson, Piper Laurie",A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,USA,1 win & 1 nomination.,53%,45,7.0,"48,245",tt1403177,movie,"$300,000",Newmarket Films
Vox Lux,2018,20 Dec 2018,114 min,"Drama, Music",Brady Corbet,Brady Corbet,"Natalie Portman, Jude Law, Stacy Martin, Jennifer Ehle",An unusual set of circumstances brings unexpected success to a pop star.,USA,N/A,61%,68,6.0,"8,128",tt5960374,movie,N/A,NEON
The Tonight Show Starring Jimmy Fallon,2014–,17 Feb 2014,60 min,"Comedy, Music, Talk-Show",N/A,N/A,"Jimmy Fallon, The Roots, Steve Higgins","Jimmy Fallon hosts the Tonight Show and interviews celebrities, plays games with them and has a musical or comedic guest perform.",USA,Won 2 Primetime Emmys. Another 7 wins & 28 nominations.,,N/A,7.4,"13,987",tt3444938,series,,
Rage,1987–,N/A,720 min,Music,N/A,N/A,"Chris Cornell, Powderfinger, Dave Grohl, Jeff Buckley",Rage is the most popular all-night music show in Australia. It screens nationally on ABC TV. Rage was first screened in April 1987. On Fridays rage plays new releases followed by the ...,Australia,N/A,,N/A,8.6,74,tt0400016,series,,
